PROVINCIA,NOMBRE,POB20,HOMBRES,MUJERES,,
Albacete,Abengibre,761,365,396,,
Albacete,Alatoz,506,283,223,,
Albacete,Albacete,174336,85214,89122,,
Albacete,Albatana,679,351,328,,
Albacete,Alborea,664,346,318,,
Albacete,Alcadozo,647,350,297,,
Albacete,Alcalá del Júcar,1194,640,554,,
Albacete,Alcaraz,1324,687,637,,
Albacete,Almansa,24511,12208,12303,,
Albacete,Alpera,2261,1170,1091,,
Albacete,Ayna,591,311,280,,
Albacete,Balazote,2327,1187,1140,,
Albacete,"Ballestero, El",396,203,193,,
Albacete,Balsa de Ves,131,77,54,,
Albacete,Barrax,1799,923,876,,
Albacete,Bienservida,579,313,266,,
Albacete,Bogarra,807,426,381,,
Albacete,Bonete,1029,530,499,,
Albacete,"Bonillo, El",2723,1386,1337,,
Albacete,Carcelén,495,265,230,,
Albacete,Casas de Juan Núñez,1326,713,613,,
Albacete,Casas de Lázaro,348,196,152,,
Albacete,Casas de Ves,563,293,270,,
Albacete,Casas-Ibáñez,4544,2281,2263,,
Albacete,Caudete,10005,5098,4907,,
Albacete,Cenizate,1194,601,593,,
Albacete,Chinchilla de Monte-Aragón,4205,2199,2006,,
Albacete,Corral-Rubio,311,167,144,,
Albacete,Cotillas,118,62,56,,
Albacete,Elche de la Sierra,3520,1747,1773,,
Albacete,Férez,629,316,313,,
Albacete,Fuensanta,291,170,121,,
Albacete,Fuente-Álamo,2474,1290,1184,,
Albacete,Fuentealbilla,1831,941,890,,
Albacete,"Gineta, La",2548,1322,1226,,
Albacete,Golosalvo,98,52,46,,
Albacete,Hellín,30200,15119,15081,,
Albacete,"Herrera, La",322,164,158,,
Albacete,Higueruela,1135,589,546,,
Albacete,Hoya-Gonzalo,630,339,291,,
Albacete,Jorquera,342,186,156,,
Albacete,Letur,892,434,458,,
Albacete,Lezuza,1332,692,640,,
Albacete,Liétor,1150,591,559,,
Albacete,Madrigueras,4634,2367,2267,,
Albacete,Mahora,1362,702,660,,
Albacete,Masegoso,104,57,47,,
Albacete,Minaya,1475,756,719,,
Albacete,Molinicos,813,421,392,,
Albacete,Montalvos,88,47,41,,
Albacete,Montealegre del Castillo,2041,1045,996,,
Albacete,Motilleja,578,313,265,,
Albacete,Munera,3429,1768,1661,,
Albacete,Navas de Jorquera,521,274,247,,
Albacete,Nerpio,1178,654,524,,
Albacete,Ontur,1976,1001,975,,
Albacete,Ossa de Montiel,2262,1134,1128,,
Albacete,Paterna del Madera,329,178,151,,
Albacete,Peñas de San Pedro,1394,815,579,,
Albacete,Peñascosa,333,186,147,,
Albacete,Pétrola,681,352,329,,
Albacete,Povedilla,405,225,180,,
Albacete,Pozo Cañada,2791,1413,1378,,
Albacete,Pozohondo,1593,830,763,,
Albacete,Pozo-Lorente,408,208,200,,
Albacete,Pozuelo,469,251,218,,
Albacete,"Recueja, La",231,126,105,,
Albacete,Riópar,1341,687,654,,
Albacete,Robledo,376,206,170,,
Albacete,"Roda, La",15527,7853,7674,,
Albacete,Salobre,470,251,219,,
Albacete,San Pedro,1171,598,573,,
Albacete,Socovos,1778,919,859,,
Albacete,Tarazona de la Mancha,6187,3165,3022,,
Albacete,Tobarra,7709,3958,3751,,
Albacete,Valdeganga,1990,1023,967,,
Albacete,Vianos,329,170,159,,
Albacete,Villa de Ves,61,35,26,,
Albacete,Villalgordo del Júcar,1102,583,519,,
Albacete,Villamalea,4070,2078,1992,,
Albacete,Villapalacios,583,307,276,,
Albacete,Villarrobledo,25116,12434,12682,,
Albacete,Villatoya,109,64,45,,
Albacete,Villavaliente,220,134,86,,
Albacete,Villaverde de Guadalimar,325,171,154,,
Albacete,Viveros,329,171,158,,
Albacete,Yeste,2614,1354,1260,,
Alicante,Agost,4794,2398,2396,,
Alicante,Agres,564,309,255,,
Alicante,Aigües,986,506,480,,
Alicante,Albatera,12474,6356,6118,,
Alicante,Alcalalí,1302,653,649,,
Alicante,Alcocer de Planes,226,113,113,,
Alicante,Alcoleja,177,98,79,,
Alicante,Alcoy/Alcoi,59354,29107,30247,,
Alicante,Alfafara,406,198,208,,
Alicante,"Alfàs del Pi, l'",20042,9945,10097,,
Alicante,Algorfa,3125,1595,1530,,
Alicante,Algueña,1326,668,658,,
Alicante,Alicante/Alacant,337482,163385,174097,,
Alicante,Almoradí,21208,10694,10514,,
Alicante,Almudaina,109,53,56,,
Alicante,"Alqueria d'Asnar, l'",493,241,252,,
Alicante,Altea,22558,11045,11513,,
Alicante,Aspe,20804,10471,10333,,
Alicante,"Atzúbia, l'",611,314,297,,
Alicante,Balones,128,71,57,,
Alicante,Banyeres de Mariola,7090,3548,3542,,
Alicante,Benasau,156,75,81,,
Alicante,Beneixama,1690,845,845,,
Alicante,Benejúzar,5435,2711,2724,,
Alicante,Benferri,1965,1016,949,,
Alicante,Beniarbeig,2159,1096,1063,,
Alicante,Beniardá,200,97,103,,
Alicante,Beniarrés,1099,563,536,,
Alicante,Benidoleig,1078,536,542,,
Alicante,Benidorm,70450,35214,35236,,
Alicante,Benifallim,104,57,47,,
Alicante,Benifato,136,71,65,,
Alicante,Benigembla,443,227,216,,
Alicante,Benijófar,3293,1604,1689,,
Alicante,Benilloba,726,384,342,,
Alicante,Benillup,100,52,48,,
Alicante,Benimantell,497,253,244,,
Alicante,Benimarfull,396,201,195,,
Alicante,Benimassot,103,55,48,,
Alicante,Benimeli,429,197,232,,
Alicante,Benissa,11288,5546,5742,,
Alicante,"Benitachell/Poble Nou de Benitatxell, el",4452,2200,2252,,
Alicante,Biar,3655,1795,1860,,
Alicante,Bigastro,6909,3481,3428,,
Alicante,Bolulla,417,218,199,,
Alicante,Busot,3075,1563,1512,,
Alicante,Callosa de Segura,19127,9756,9371,,
Alicante,Callosa d'en Sarrià,7522,3871,3651,,
Alicante,Calp,23326,11775,11551,,
Alicante,"Campello, el",28930,14076,14854,,
Alicante,"Campo de Mirra/Camp de Mirra, el",417,212,205,,
Alicante,Cañada,1208,596,612,,
Alicante,Castalla,10461,5331,5130,,
Alicante,Castell de Castells,437,231,206,,
Alicante,"Castell de Guadalest, el",224,111,113,,
Alicante,Catral,8898,4468,4430,,
Alicante,Cocentaina,11520,5852,5668,,
Alicante,Confrides,261,149,112,,
Alicante,Cox,7386,3757,3629,,
Alicante,Crevillent,29536,14967,14569,,
Alicante,Daya Nueva,1733,844,889,,
Alicante,Daya Vieja,731,371,360,,
Alicante,Dénia,42827,20723,22104,,
Alicante,Dolores,7531,3756,3775,,
Alicante,Elche/Elx,234765,116386,118379,,
Alicante,Elda,52813,25738,27075,,
Alicante,Facheca,107,56,51,,
Alicante,Famorca,45,24,21,,
Alicante,Finestrat,7103,3645,3458,,
Alicante,"Fondó de les Neus, el/Hondón de las Nieves",2606,1333,1273,,
Alicante,Formentera del Segura,4268,2168,2100,,
Alicante,Gaianes,479,236,243,,
Alicante,Gata de Gorgos,6243,3181,3062,,
Alicante,Gorga,241,130,111,,
Alicante,Granja de Rocamora,2591,1356,1235,,
Alicante,Guardamar del Segura,15849,7735,8114,,
Alicante,Hondón de los Frailes,1242,633,609,,
Alicante,Ibi,23564,11776,11788,,
Alicante,Jacarilla,1998,1024,974,,
Alicante,Jávea/Xàbia,28016,13928,14088,,
Alicante,Jijona/Xixona,6879,3355,3524,,
Alicante,Llíber,830,414,416,,
Alicante,"Lorcha/Orxa, l'",582,289,293,,
Alicante,Millena,240,127,113,,
Alicante,Monforte del Cid,8346,4375,3971,,
Alicante,Monóvar/Monòver,12212,6097,6115,,
Alicante,"Montesinos, Los",5061,2579,2482,,
Alicante,Murla,507,234,273,,
Alicante,Muro de Alcoy,9315,4636,4679,,
Alicante,Mutxamel,25645,12822,12823,,
Alicante,Novelda,25741,12806,12935,,
Alicante,"Nucia, la",18163,9236,8927,,
Alicante,Ondara,7076,3569,3507,,
Alicante,Onil,7600,3791,3809,,
Alicante,Orba,2232,1106,1126,,
Alicante,Orihuela,78505,38965,39540,,
Alicante,Orxeta,784,400,384,,
Alicante,Parcent,967,473,494,,
Alicante,Pedreguer,7881,3927,3954,,
Alicante,Pego,10133,5041,5092,,
Alicante,Penàguila,269,142,127,,
Alicante,Petrer,34241,17004,17237,,
Alicante,Pilar de la Horadada,22347,11467,10880,,
Alicante,"Pinós, el/Pinoso",8025,4055,3970,,
Alicante,Planes,682,367,315,,
Alicante,"Poblets, els",2714,1298,1416,,
Alicante,Polop,5064,2599,2465,,
Alicante,Quatretondeta,118,64,54,,
Alicante,Rafal,4553,2259,2294,,
Alicante,"Ràfol d'Almúnia, el",648,329,319,,
Alicante,Redován,7926,4116,3810,,
Alicante,Relleu,1148,598,550,,
Alicante,Rojales,16671,8517,8154,,
Alicante,"Romana, la",2492,1291,1201,,
Alicante,Sagra,426,207,219,,
Alicante,Salinas,1620,834,786,,
Alicante,San Fulgencio,8071,4090,3981,,
Alicante,San Isidro,2103,1094,1009,,
Alicante,San Miguel de Salinas,6313,3178,3135,,
Alicante,San Vicente del Raspeig/Sant Vicent del Raspeig,58978,29149,29829,,
Alicante,Sanet y Negrals,690,354,336,,
Alicante,Sant Joan d'Alacant,24367,11742,12625,,
Alicante,Santa Pola,33303,16742,16561,,
Alicante,Sax,9859,4978,4881,,
Alicante,Sella,577,299,278,,
Alicante,Senija,583,308,275,,
Alicante,Tàrbena,623,321,302,,
Alicante,Teulada,11278,5656,5622,,
Alicante,Tibi,1662,884,778,,
Alicante,Tollos,35,22,13,,
Alicante,Tormos,318,154,164,,
Alicante,"Torremanzanas/Torre de les Maçanes, la",636,335,301,,
Alicante,Torrevieja,84667,41717,42950,,
Alicante,"Vall d'Alcalà, la",160,89,71,,
Alicante,Vall de Gallinera,527,280,247,,
Alicante,"Vall de Laguar, la",827,413,414,,
Alicante,"Vall d'Ebo, la",218,113,105,,
Alicante,"Verger, el",4709,2353,2356,,
Alicante,"Villajoyosa/Vila Joiosa, la",35199,17546,17653,,
Alicante,Villena,34155,17193,16962,,
Alicante,Xaló,2868,1437,1431,,
Almeria,Abla,1248,632,616,,
Almeria,Abrucena,1183,630,553,,
Almeria,Adra,25412,13025,12387,,
Almeria,Albanchez,687,344,343,,
Almeria,Alboloduy,609,296,313,,
Almeria,Albox,12083,6188,5895,,
Almeria,Alcolea,844,435,409,,
Almeria,Alcóntar,514,284,230,,
Almeria,Alcudia de Monteagud,138,71,67,,
Almeria,Alhabia,677,356,321,,
Almeria,Alhama de Almería,3691,1858,1833,,
Almeria,Alicún,201,102,99,,
Almeria,Almería,201322,98531,102791,,
Almeria,Almócita,176,94,82,,
Almeria,Alsodux,125,76,49,,
Almeria,Antas,3315,1724,1591,,
Almeria,Arboleas,4624,2309,2315,,
Almeria,Armuña de Almanzora,300,145,155,,
Almeria,Bacares,250,135,115,,
Almeria,Balanegra,3105,1658,1447,,
Almeria,Bayárcal,312,173,139,,
Almeria,Bayarque,216,104,112,,
Almeria,Bédar,984,505,479,,
Almeria,Beires,120,57,63,,
Almeria,Benahadux,4481,2218,2263,,
Almeria,Benitagla,58,32,26,,
Almeria,Benizalón,262,141,121,,
Almeria,Bentarique,240,135,105,,
Almeria,Berja,12563,6397,6166,,
Almeria,Canjáyar,1189,626,563,,
Almeria,Cantoria,3365,1712,1653,,
Almeria,Carboneras,8105,4166,3939,,
Almeria,Castro de Filabres,120,63,57,,
Almeria,Chercos,298,152,146,,
Almeria,Chirivel,1489,760,729,,
Almeria,Cóbdar,178,98,80,,
Almeria,Cuevas del Almanzora,14455,7522,6933,,
Almeria,Dalías,4066,2014,2052,,
Almeria,"Ejido, El",83758,43396,40362,,
Almeria,Enix,514,286,228,,
Almeria,Felix,636,365,271,,
Almeria,Fines,2104,1100,1004,,
Almeria,Fiñana,1984,998,986,,
Almeria,Fondón,994,509,485,,
Almeria,Gádor,3034,1581,1453,,
Almeria,"Gallardos, Los",2902,1469,1433,,
Almeria,Garrucha,9520,4967,4553,,
Almeria,Gérgal,1080,568,512,,
Almeria,Huécija,486,238,248,,
Almeria,Huércal de Almería,17917,9094,8823,,
Almeria,Huércal-Overa,19432,9655,9777,,
Almeria,Íllar,405,217,188,,
Almeria,Instinción,448,234,214,,
Almeria,Laroya,198,114,84,,
Almeria,Láujar de Andarax,1527,761,766,,
Almeria,Líjar,394,212,182,,
Almeria,Lubrín,1449,720,729,,
Almeria,Lucainena de las Torres,564,293,271,,
Almeria,Lúcar,760,374,386,,
Almeria,Macael,5480,2807,2673,,
Almeria,María,1230,635,595,,
Almeria,Mojácar,6778,3312,3466,,
Almeria,"Mojonera, La",9191,5191,4000,,
Almeria,Nacimiento,496,265,231,,
Almeria,Níjar,31666,17779,13887,,
Almeria,Ohanes,558,283,275,,
Almeria,Olula de Castro,191,106,85,,
Almeria,Olula del Río,6256,3214,3042,,
Almeria,Oria,2239,1169,1070,,
Almeria,Padules,414,219,195,,
Almeria,Partaloa,1035,523,512,,
Almeria,Paterna del Río,365,210,155,,
Almeria,Pechina,4103,2085,2018,,
Almeria,Pulpí,10358,5363,4995,,
Almeria,Purchena,1664,868,796,,
Almeria,Rágol,303,155,148,,
Almeria,Rioja,1453,739,714,,
Almeria,Roquetas de Mar,98433,50782,47651,,
Almeria,Santa Cruz de Marchena,199,99,100,,
Almeria,Santa Fe de Mondújar,461,236,225,,
Almeria,Senés,289,159,130,,
Almeria,Serón,2033,1040,993,,
Almeria,Sierro,379,208,171,,
Almeria,Somontín,443,224,219,,
Almeria,Sorbas,2436,1274,1162,,
Almeria,Suflí,196,105,91,,
Almeria,Tabernas,3717,1900,1817,,
Almeria,Taberno,974,478,496,,
Almeria,Tahal,336,172,164,,
Almeria,Terque,365,192,173,,
Almeria,Tíjola,3548,1776,1772,,
Almeria,"Tres Villas, Las",565,303,262,,
Almeria,Turre,3781,1967,1814,,
Almeria,Turrillas,248,141,107,,
Almeria,Uleila del Campo,822,413,409,,
Almeria,Urrácal,350,182,168,,
Almeria,Velefique,230,127,103,,
Almeria,Vélez-Blanco,1874,965,909,,
Almeria,Vélez-Rubio,6546,3206,3340,,
Almeria,Vera,16996,8655,8341,,
Almeria,Viator,5978,3058,2920,,
Almeria,Vícar,26899,14569,12330,,
Almeria,Zurgena,2956,1485,1471,,
Araba/Álava,Agurain/Salvatierra,5038,2537,2501,,
Araba/Álava,Alegría-Dulantzi,2935,1531,1404,,
Araba/Álava,Amurrio,10264,5044,5220,,
Araba/Álava,Añana,149,89,60,,
Araba/Álava,Aramaio,1442,748,694,,
Araba/Álava,Armiñón,223,115,108,,
Araba/Álava,Arraia-Maeztu,733,414,319,,
Araba/Álava,Arratzua-Ubarrundia,984,539,445,,
Araba/Álava,Artziniega,1800,892,908,,
Araba/Álava,Asparrena,1623,833,790,,
Araba/Álava,Ayala/Aiara,2968,1500,1468,,
Araba/Álava,Baños de Ebro/Mañueta,294,166,128,,
Araba/Álava,Barrundia,881,483,398,,
Araba/Álava,Berantevilla,463,240,223,,
Araba/Álava,Bernedo,507,305,202,,
Araba/Álava,Campezo/Kanpezu,1034,547,487,,
Araba/Álava,Elburgo/Burgelu,608,317,291,,
Araba/Álava,Elciego,1001,500,501,,
Araba/Álava,Elvillar/Bilar,330,162,168,,
Araba/Álava,Erriberabeitia,1383,748,635,,
Araba/Álava,Erriberagoitia/Ribera Alta,782,455,327,,
Araba/Álava,Harana/Valle de Arana,218,121,97,,
Araba/Álava,Iruña Oka/Iruña de Oca,3488,1821,1667,,
Araba/Álava,Iruraiz-Gauna,532,290,242,,
Araba/Álava,Kripan,178,92,86,,
Araba/Álava,Kuartango,385,224,161,,
Araba/Álava,Labastida/Bastida,1517,779,738,,
Araba/Álava,Lagrán,162,90,72,,
Araba/Álava,Laguardia,1454,750,704,,
Araba/Álava,Lanciego/Lantziego,709,383,326,,
Araba/Álava,Lantarón,877,488,389,,
Araba/Álava,Lapuebla de Labarca,865,441,424,,
Araba/Álava,Laudio/Llodio,18118,8868,9250,,
Araba/Álava,Legutio,1921,1010,911,,
Araba/Álava,Leza,211,106,105,,
Araba/Álava,Moreda de Álava/Moreda Araba,211,105,106,,
Araba/Álava,Navaridas,194,114,80,,
Araba/Álava,Okondo,1203,629,574,,
Araba/Álava,Oyón-Oion,3410,1729,1681,,
Araba/Álava,Peñacerrada-Urizaharra,262,156,106,,
Araba/Álava,Samaniego,315,148,167,,
Araba/Álava,San Millán/Donemiliaga,706,386,320,,
Araba/Álava,Urkabustaiz,1386,723,663,,
Araba/Álava,Valdegovía/Gaubea,986,538,448,,
Araba/Álava,Villabuena de Álava/Eskuernaga,274,141,133,,
Araba/Álava,Vitoria-Gasteiz,253996,123627,130369,,
Araba/Álava,Yécora/Iekora,270,139,131,,
Araba/Álava,Zalduondo,185,105,80,,
Araba/Álava,Zambrana,416,220,196,,
Araba/Álava,Zigoitia,1749,948,801,,
Araba/Álava,Zuia,2300,1188,1112,,
Asturias,Allande,1615,799,816,,
Asturias,Aller,10413,5141,5272,,
Asturias,Amieva,628,362,266,,
Asturias,Avilés,77791,36800,40991,,
Asturias,Belmonte de Miranda,1437,775,662,,
Asturias,Bimenes,1679,803,876,,
Asturias,Boal,1482,748,734,,
Asturias,Cabrales,1941,980,961,,
Asturias,Cabranes,1057,531,526,,
Asturias,Candamo,1969,961,1008,,
Asturias,Cangas de Onís,6209,3002,3207,,
Asturias,Cangas del Narcea,12124,5951,6173,,
Asturias,Caravia,469,245,224,,
